Computer Name,Installed Applications - Windows
,Microsoft .NET Framework 4.5.1 SDK | 4.5.51641
,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU) | 4.5.51209
,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack | 4.5.51651
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft ASP.NET MVC 4 Runtime | 4.0.40804.0
,Microsoft Access Runtime 2010 | 14.0.4763.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Help Viewer 1.1 | 1.1.40219
,Microsoft Help Viewer 2.1 | 2.1.21005
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Office XP Professional | 10.0.2627.01
,Microsoft Report Viewer 2012 Runtime | 11.0.2100.60
,Microsoft SQL Server 2008 R2 Management Objects | 10.51.2500.0
,Microsoft SQL Server 2008 Setup Support Files | 10.1.2731.0
,Microsoft SQL Server 2012 (64-bit)
,Microsoft SQL Server 2012 Command Line Utilities | 11.1.3000.0
,Microsoft SQL Server 2012 Data-Tier App Framework (x64) | 11.1.2902.0
,Microsoft SQL Server 2012 Data-Tier App Framework | 11.1.2902.0
,Microsoft SQL Server 2012 Express LocalDB | 11.1.3000.0
,Microsoft SQL Server 2012 Management Objects (x64) | 11.1.3000.0
,Microsoft SQL Server 2012 Management Objects | 11.1.3000.0
,Microsoft SQL Server 2012 Native Client | 11.1.3000.0
,Microsoft SQL Server 2012 Policies | 11.0.2100.60
,Microsoft SQL Server 2012 Setup (English) | 11.1.3000.0
,Microsoft SQL Server 2012 T-SQL Language Service | 11.0.2100.60
,Microsoft SQL Server 2012 T-SQL Language Service | 11.1.3000.0
,Microsoft SQL Server 2012 Transact-SQL Compiler Service | 11.1.3000.0
,Microsoft SQL Server 2012 Transact-SQL ScriptDom | 11.1.3000.0
,Microsoft SQL Server Compact 4.0 SP1 x64 ENU | 4.0.8876.1
,Microsoft SQL Server Data Tools - enu (12.0.30919.1) | 12.0.30919.1
,Microsoft SQL Server Data Tools Build Utilities - enu (12.0.30919.1) | 12.0.30919.1
,Microsoft SQL Server Data Tools ? Database Projects ? Web installer entry point | 10.3.20116.0
,Microsoft SQL Server System CLR Types (x64) | 10.50.1600.1
,Microsoft SQL Server System CLR Types | 10.51.2500.0
,Microsoft Silverlight 5 SDK | 5.0.61118.0
,Microsoft Silverlight | 5.1.20913.0
,Microsoft System CLR Types for SQL Server 2012 (x64) | 11.1.3366.16
,Microsoft System CLR Types for SQL Server 2012 | 11.1.3366.16
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570 | 9.0.30729.5570
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Runtime - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610 | 11.0.60610.1
,Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610 | 11.0.60610.1
,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501 | 12.0.30501.0
,Microsoft Visual Studio 2010 Shell (Integrated) - ENU | 10.0.40219
,Microsoft Visual Studio 2010 Shell (Isolated) - ENU | 10.0.40219
,Microsoft Visual Studio 2010 Tools for Office Runtime (x64) | 10.0.40820
,Microsoft Visual Studio Professional 2013 | 12.0.21005.1
,Microsoft Visual Studio Tools for Applications Design-Time 3.0 | 10.0.40220
,Microsoft Visual Studio Tools for Applications x64 Runtime 3.0 | 10.0.40220
,Microsoft Visual Studio Tools for Applications x86 Runtime 3.0 | 10.0.40220
,Microsoft Web Deploy 3.5 | 3.1237.1762
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Notepad++ | 6.7.8.2
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,Perforce Visual Components | 143.100.7674
,Prerequisites for SSDT | 11.1.3000.0
,Python Tools 2.2 for Visual Studio 2013 | 2.2.30718.00
,R for Windows 3.2.2 | 3.2.2
,RET Orderwatch 3.4.1022 SP1 | 3.4.0.1022
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RStudio | 0.99.484
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.42144
,Thomson Reuters Messenger | 8.4.0.147
,VirtualCloneDrive | 5.4.7.0
,Visual Studio 2010 Prerequisites - English | 10.0.40219
,WCF RIA Services V1.0 SP2 | 4.1.62812.0
,WebEx Support Manager for Internet Explorer | 6.2
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDW36F1ZY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Altiris Deployment Agent | 1.0.0
,Bloomberg API
,Bloomberg Keyboard v11.1 | v11.1
,Bloomberg Office Tools (32-bit)
,Bloomberg Pricelink 2 | 6.25
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,InternetExplorer | 11.09.9600.1642
,Java 7 Update 51 (64-bit) | 7.0.510
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.7015.1000
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.42144
,Thomson Reuters Messenger | 8.4.0.147
,Velocity 2.0 Auto Upgrade | 2.0.11
,Velocity 2.0 | 2.0.28
,Velocity 2.0 | 2.0.28.196
,WebEx Support Manager for Internet Explorer | 6.2
,Yieldbroker DEBTS | 4.0.0
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDW37R4GY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Adobe Shockwave Player 12.0 | 12.0.3.133
,Altiris Deployment Agent | 1.0.0
,Cisco WebEx Meeting Center | 31.11.2.7
,Cisco WebEx Meetings
,Citrix Online Launcher | 1.0.449
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,GoToMeeting 8.23.0.8557 | 8.23.0.8557
,Google Chrome | 65.0.3325.181
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,MSXML 4.0 SP3 Parser (KB2721691) | 4.30.2114.0
,MSXML 4.0 SP3 Parser (KB2758694) | 4.30.2117.0
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft AS OLE DB Provider for SQL Server 2012 | 11.1.3000.0
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Office XP Professional | 10.0.2627.01
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570 | 9.0.30729.5570
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB Connect Data Migration | 2.2.0
,NAB Convert | 1.00.3100
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RSA DLP Endpoint Agent | 9.5.1100.10026
,Realtek High Definition Audio Driver | 6.0.1.5907
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Tableau Reader 8.2 | 8.2.371
,WebEx Support Manager for Internet Explorer | 6.2
,starX prod-lon
,xagt | 21.33.7
SYDW38D6HY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe AIR | 21.0.0.198
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Adobe Shockwave Player 12.0 | 12.0.3.133
,Altiris Deployment Agent | 1.0.0
,Aus:marker Beta | 1.00.0000
,Autobahn Toolbar | 13.5.536.0
,Autobahn | 1.20.0.0
,Barracuda OMS | 2.9.3
,Bloomberg API
,Bloomberg Keyboard v11.1 | v11.1
,Bloomberg Office Tools (32-bit)
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Authentication Manager | 11.0.0.47877
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix Receiver (HDX Flash Redirection) | 14.9.0.2539
,Citrix Receiver Inside | 4.9.0.65534
,Citrix Receiver(Aero) | 14.9.0.2539
,Citrix Receiver(DV) | 14.9.0.2539
,Citrix Receiver(USB) | 14.9.0.2539
,Citrix Web Helper | 4.9.0.2528
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,GFI ForexMatch 9.14.8.4141680
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java 8 Update 45 (64-bit) | 8.0.450
,Java(TM) 6 Update 27 | 6.0.270
,MSXML 4.0 SP3 Parser (KB2721691) | 4.30.2114.0
,MSXML 4.0 SP3 Parser (KB2758694) | 4.30.2117.0
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync - Welcome
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.50907.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570 | 9.0.30729.5570
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Online Plug-in | 14.9.0.2539
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RET Orderwatch 3.4.1022 SP1 | 3.4.0.1022
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Self-service Plug-in | 4.9.0.2528
,Sublime Text Build 3103
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Treasury Center | 6.5.0.48
,WebEx Support Manager for Internet Explorer | 6.2
,bgc forex 9.8.7.466758
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDW38VVD2S,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe AIR | 3.5.0.1060
,Adobe Flash Player 19 ActiveX | 19.0.0.245
,Adobe Reader XI (11.0.08) | 11.0.08
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Adobe Shockwave Player 12.0 | 12.0.3.133
,Altiris Deployment Agent | 1.0.0
,Autobahn | 1.20.0.0
,Barracuda OMS | 2.9.3
,Bloomberg API
,Bloomberg Keyboard v11.1 | v11.1
,Bloomberg Office Tools (32-bit)
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Capture
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Eikon Messenger version 1.3.11 | 1.3.11
,FX Trading | 6.9.6.16
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,MSXML 4.0 SP3 Parser (KB2721691) | 4.30.2114.0
,MSXML 4.0 SP3 Parser (KB2758694) | 4.30.2117.0
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4 Client Profile | 4.0.30319
,Microsoft .NET Framework 4 Extended | 4.0.30319
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.249
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
,Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570 | 9.0.30729.5570
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17 | 9.0.30729
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RET Orderwatch 3.4.1022 SP1 | 3.4.0.1022
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.32582
,Thomson Reuters Messenger | 8.4.0.147
,WEY Capture S2.1
,WEY Windows-Focus-Monitor V2.4
,WebEx Support Manager for Internet Explorer | 6.2
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDW391DHY1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe AIR Settings Manager | 1.5
,Adobe AIR | 21.0.0.198
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Adobe Shockwave Player 11.6 | 11.6.6.636
,Altiris Deployment Agent | 1.0.0
,Barracuda OMS | 2.9.3
,Bloomberg API
,Bloomberg Keyboard v11.9 | v11.9
,Bloomberg Office Tools (32-bit)
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,Google Chrome | 65.0.3325.181
,IBM BigFix Client | 9.2.9.36
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee VirusScan Enterprise | 8.8.07000
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Live Meeting 2007 | 8.0.6362.281
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.59193
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219
,NAB FindPrinter 1.0.3.0 | 1.0.3.0
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0
,RET Orderwatch 3.4.1022 SP1 | 3.4.0.1022
,RSA DLP Endpoint Agent | 9.5.1100.10026
,RTEx for Reuters 3000 Xtra | 5.1.040
,Realtek High Definition Audio Driver | 6.0.1.5907
,Reuters 3000 Xtra Suite | 5.1.0703
,Reuters IOE Xtra | 3.3.1
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02
,Reuters Insertlink | 3.1.11110
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779
,Thomson Reuters Eikon | 4.0.30572
,Thomson Reuters Messenger | 8.4.0.147
,WebEx Support Manager for Internet Explorer | 6.2
,rwdsnewsfix | 1.0
,xagt | 21.33.7
SYDW39NZWX1,AdmPwd - Local admin password management solution | 4.0.7.0
,Adobe Flash Player 21 ActiveX | 21.0.0.213
,Adobe Flash Player 26 PPAPI | 26.0.0.131
,Adobe Reader XI (11.0.15) | 11.0.15
,Adobe Shockwave Player 11.6 | 11.6.1.629
,Adobe Shockwave Player 12.0 | 12.0.3.133
,Altiris Deployment Agent | 1.0.0
,Autobahn Toolbar | 2016.5.0.2042
,Bloomberg API
,Bloomberg DCA | 4.0.0.121
,Bloomberg Keyboard v11.9 | v11.9
,Bloomberg Office Tools (32-bit)
,Bloomberg Pricelink 2 | 6.25
,Bloomberg Professional Service
,Bloomberg SFD Data Dictionary
,Calypso Client - (p1-v14) | 14.2.184
,Cisco WebEx Meeting Center | 31.11.2.7
,Citrix Password Manager Plugin | 4.6.264.0
,Citrix online plug-in - web | 12.1.44.1
,CorpidFonts | 01.07.0002.0000
,CorpidFonts | 02.03.0009.0000
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0
,GFITrading on prodapp01 (9.1.8.4012461)
,Google Chrome | 65.0.3325.181
,IBM BigFix Client | 9.5.5.196
,IBM Glossary Anywhere 11.5 | 11.5
,ImpactScriptFonts | 01.00.0000.0000
,Java(TM) 6 Update 27 | 6.0.270
,McAfee Agent | 4.8.0.1995
,McAfee Agent | 4.8.3300
,McAfee Host Intrusion Prevention | 8.00.0402
,McAfee VirusScan Enterprise | 8.8.04001
,Microsoft .NET Framework 4.5.2 | 4.5.51209
,Microsoft Access Runtime 2010 | 14.0.6029.1000
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252
,Microsoft Lync 2010 | 4.0.7577.4540
,Microsoft Office Professional Plus 2010 | 14.0.7015.1000
,Microsoft Silverlight | 5.1.20913.0
,Microsoft Visio Viewer 2010 | 14.0.4763.1000
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001
